Tempo_s,Comando_u,Estabilidade_y
0.0,0.0,2.388119832512707
0.2,0.0,0.0
0.4,0.0,0.0
0.6000000000000001,0.0,0.0
0.8,0.0,1.97442161615039
1.0,1.0,0.5077288688531982
1.2000000000000002,1.0,0.06090667973024466
1.4000000000000001,1.0,0.0
1.6,1.0,0.0
1.8,1.0,0.0
2.0,1.0,0.0
2.2,1.0,0.0668538069804781
2.4000000000000004,1.0,0.0
2.6,1.0,4.141206376120843
2.8000000000000003,1.0,0.0
3.0,1.0,6.84144470318825
3.2,1.0,8.35695772442712
3.4000000000000004,1.0,15.20444310546461
3.6,1.0,27.91828199021631
3.8000000000000003,1.0,27.63821067738929
4.0,1.0,33.887877068368645
4.2,1.0,40.61450297639557
4.4,1.0,47.011250928301806
4.6000000000000005,1.0,47.31212931497273
4.800000000000001,1.0,53.40394192515797
5.0,1.0,56.00027472236239
5.2,1.0,60.804318072372354
5.4,1.0,62.86386553528023
5.6000000000000005,1.0,65.27383930497471
5.800000000000001,1.0,67.65245594219897
6.0,1.0,68.5280348427909
6.2,1.0,75.5369952827455
6.4,1.0,77.72864057772102
6.6000000000000005,1.0,77.09861013615134
6.800000000000001,1.0,73.47485604688893
7.0,1.0,81.15546558651937
7.2,1.0,84.84138578715475
7.4,1.0,82.63839960705688
7.6000000000000005,1.0,79.87253547324073
7.800000000000001,1.0,84.63016106507534
8.0,1.0,82.86475654122728
8.200000000000001,1.0,89.56386454415738
8.4,1.0,86.33981223145665
8.6,1.0,86.01999009068038
8.8,1.0,90.98085112681036
9.0,1.0,88.65048696771574
9.200000000000001,1.0,91.25593349001544
9.4,1.0,89.367599952238
9.600000000000001,1.0,92.67252376717869
9.8,1.0,94.2036671487174
10.0,1.0,100.52627135435263
10.200000000000001,1.0,94.95251141777145
10.4,1.0,90.5356300286438
10.600000000000001,1.0,95.54792255382152
10.8,1.0,99.51194327091865
11.0,1.0,93.42479636015625
11.200000000000001,1.0,98.79896230510296
11.4,1.0,97.24283487483177
11.600000000000001,1.0,96.84636687665932
11.8,1.0,99.17016604705819
12.0,1.0,94.80555157571594
12.200000000000001,1.0,100.42734120466896
12.4,1.0,100.68088253475815
12.600000000000001,1.0,101.18214022525915
12.8,1.0,97.00783890993364
13.0,1.0,101.0942640987355
13.200000000000001,1.0,103.27009034278389
13.4,1.0,100.42654661541827
13.600000000000001,1.0,95.56559148382632
13.8,1.0,95.46809780940539
14.0,1.0,98.73610374741196
14.200000000000001,1.0,99.75399611613119
14.4,1.0,106.03541263060303
14.600000000000001,1.0,96.9755654878569
14.8,1.0,101.46324601186129
