Var_A,Var_B,Var_C,Var_D,Alvo_Y
0.0607179592667052,0.227656702220096,0.4649394315099148,0.4821083850618923,0.366683068329409
0.639659118489562,0.8408523704776085,0.2096330904401876,0.3729222891037479,0.6114558633148353
0.6307319020602489,0.2222428796835804,0.372528559419192,0.6969055594626535,0.6625549575063538
0.6405474975640069,0.7579284999780835,0.9789333203878412,0.2031338372345529,0.4445154632584661
0.9429114776627128,0.6826376207099554,0.720921367058302,0.3529632702930784,0.5799929452074736
0.512119147999806,0.8445442354266315,0.98343995541614,0.2407110505355388,0.4725380537244582
0.2275610883539561,0.6882856472310346,0.3322810186138909,0.3719947114560733,0.4235124545939777
0.7940816755959547,0.8942832746271412,0.7448132853353312,0.4862020761617028,0.756934748799629
0.8900055594568692,0.4471766595377717,0.3761423178828691,0.4094170551721486,0.5452866230639698
0.1234633815617994,0.8922610663202301,0.80872559523879,0.5034199103225694,0.6078428979848716
0.8138359339773574,0.3573747515585693,0.4473880099360686,0.3250730469758275,0.4318220103809198
0.2833014716310343,0.0300993593384585,0.483087761916132,0.2831438864998806,0.2346773451564716
0.6711848702505946,0.4506954525799339,0.0310120968167052,0.3577522976850121,0.4878764432180876
0.4077687220896619,0.7898170615952542,0.8921578887135599,0.162112721317811,0.361952052704348
0.4100005399448753,0.0705468820073744,0.1672148978423384,0.4993838213968894,0.454882141054737
0.1781234221842063,0.1256540815570782,0.5537023722224732,0.5249992172606749,0.4040022746726256
0.9745520743738996,0.3780056533845721,0.9828809839192644,0.3445325959522803,0.52403182727279
0.3607705319367476,0.4791914155925332,0.1878117634232598,0.4360794330550596,0.4562665271748194
0.8281754298377958,0.7679769476127742,0.8081624879439581,0.2701301464713776,0.5526753586464724
0.9700137907022884,0.7380388423454263,0.9661337981171554,0.5545882181634412,0.79085898708657
0.6778012485147054,0.8259918840212652,0.5014881607228986,0.2528958932998612,0.4928156526909167
0.0023315656556111,0.3708812852896986,0.8838524489985065,0.2388956052195869,0.2200688545582841
0.5933618955600498,0.257056476351148,0.8408277608253846,0.4320616854592751,0.4630115482061738
0.5924100022754348,0.0572670011578045,0.6940412879113652,0.3402777316459895,0.346143756434162
0.5788007566087324,0.928397500135668,0.76266712391506,0.5614977623277297,0.756822607893925
0.2419058968528135,0.8397789929820112,0.3363356566326616,0.733975531359812,0.7794968773539708
0.2776670396207673,0.419735638790686,0.0520589925503632,0.5795259335024785,0.547271101928572
0.120623443986661,0.2628281041868407,0.6680523995080219,0.366041474523389,0.2963418734300582
0.1780680327893048,0.7050392574405241,0.5335779990341551,0.3414406518106701,0.3984982053958825
0.6708000705390809,0.1559802745445971,0.1422720416171307,0.8587407119079091,0.8033794264393038
0.1179860364853615,0.5383210917311811,0.8524720009060056,0.1655177473516791,0.2043627964728716
0.2740961643848086,0.224907030967233,0.7634591269009326,0.6459200565754387,0.5576487188313665
0.2785918495461831,0.5919848164618016,0.800121595410377,0.3622516655045753,0.3979481394795638
0.5532878385283657,0.0648655790504899,0.767735079726507,0.565184215456204,0.5209460480952264
